정류소 명,X 좌표,Y 좌표
대명시장앞,12834.6278,3551.5214
대명시장건너,12834.6689,3551.5184
계명대학교대명캠퍼스앞,12834.8509,3551.4267
계명대학교대명캠퍼스건너,12834.8004,3551.4605
중부소방서건너,12834.5403,3551.7872
중부소방서앞,12834.6056,3551.7831
대신센트럴자이,12834.6787,3551.8217
신남역(1번출구),12834.8715,3551.8807
엘디스리젠트호텔건너,12835.2044,3551.9649
엘디스리젠트호텔앞,12835.1149,3551.9586
현대백화점.동아쇼핑건너,12835.4056,3551.9538
봉산문화거리앞,12835.831,3551.8805
2호선반월당역1,12835.73706,3551.91543
봉산문화거리건너,12835.8167,3551.9012
반월당역(2번출구),12835.5947,3551.7615
반월당역(1번출구)1,12835.5896,3551.8008
남문시장건너2,12835.5238,3551.5737
남문시장앞,12835.5288,3551.6227
명덕역(6번출구),12835.4721,3551.4685
명덕역(7번출구),12835.4632,3551.4741
명덕네거리1,12835.5212,3551.4093
명덕네거리2,12835.5478,3551.4075
상수도사업본부건너,12835.7695,3551.3859
상수도사업본부,12835.8364,3551.3612
명덕초등학교앞,12835.2905,3551.4128
명덕초등학교건너,12835.2869,3551.4043
남산역(프린스호텔건너),12835.0919,3551.3925
남산역건너(프린스호텔앞),12835.03845,3551.379762
경북공고앞,12834.9642,3551.4735
경북공고건너,12834.9579,3551.5204
남산초등학교앞,12834.9522,3551.7431
남산초등학교건너,12834.9439,3551.7635
남산2동주민센터건너,12835.3121,3551.8934
남문아파트앞,12835.4575,3551.7076
대구향교앞,12835.74634,3551.609021
대구향교건너,12835.7529,3551.6159
약령시건너(동성로입구),12835.6217,3552.0705
약령시앞,12835.6229,3552.1409
경상감영공원건너,12835.662,3552.362
경상감영공원앞,12835.6709,3552.4233
경진테크빌앞,12835.2665,3552.4927
경진테크빌건너,12835.2625,3552.4762
성내3동주민센터입구,12835.2487,3552.357
호텔아미고뒤,12835.246,3552.29
수창초등학교,12834.9305,3552.543
달성공원앞,12834.9211,3552.4754
동산의료원앞1,12834.9426,3552.1131
서문시장,12834.9357,3552.0435
동산의료원앞2,12834.94,3552.0419
대신동광명맨션앞,12834.5328,3551.998
서문시장5지구앞,12834.715,3552.1368
섬유회관앞,12835.0324,3552.237
섬유회관건너1,12834.9998,3552.2408
섬유회관건너2,12835.1225,3552.229
곽병원앞2,12835.357,3552.2212
곽병원건너,12835.3802,3552.2175
곽병원앞1,12835.3781,3552.2246
만경관건너,12835.4314,3552.2272
만경관앞,12835.4144,3552.2327
CGV대구한일건너,12835.7826,3552.2442
CGV대구한일앞,12835.7995,3552.2367
2.28기념중앙공원앞,12835.9001,3552.2224
2.28기념중앙공원건너1,12835.8881,3552.2336
적십자혈액원앞,12834.7057,3552.7002
적십자혈액원건너,12834.7318,3552.6859
중구보건소건너,12835.0936,3552.6154
중구보건소앞,12835.0974,3552.6255
대구콘서트하우스앞,12835.5515,3552.5385
경대사대부설고등학교앞,12836.0313,3551.8109
경북대학교치과병원,12836.0856,3551.8164
방천시장(김광석길)건너,12836.3432,3551.7608
방천시장(김광석길)앞,12836.3817,3551.7383
대백프라자앞,12836.2637,3551.3065
대봉성당,12836.04338,3551.326331
건들바위건너,12835.9063,3551.4477
건들바위앞,12835.9164,3551.4949
봉산가구골목(동편),12835.9524,3551.6919
봉산가구골목(서편),12835.9466,3551.6726
봉산육거리,12835.9579,3551.7651
청구타운앞,12836.2084,3551.683
청구타운건너,12836.2479,3551.6222
청운맨션앞,12836.285,3551.4301
청운맨션건너,12836.2718,3551.4063
대봉도서관앞,12836.1315,3551.393
대봉도서관건너,12836.10344,3551.451784
대구맨션앞,12836.0499,3551.6063
대구맨션건너,12836.0563,3551.5884
삼덕교회,12835.9979,3551.9692
삼덕성당앞,12835.9879,3552.0507
국채보상운동기념공원,12836.2304,3552.0953
경북대학교병원건너,12836.1976,3551.9445
경북대학교병원앞,12836.1946,3551.914
중구청건너,12836.4319,3552.1304
중구청앞,12836.4141,3552.1361
동인초등학교앞,12836.6476,3552.106
동인초등학교건너,12836.6406,3552.1152
대구광역시청앞,12836.0584,3552.3323
대구광역시청건너,12836.049,3552.3214
대구역건너,12835.8508,3552.4763
대구역앞,12835.8648,3552.4728
교동시장앞,12835.9629,3552.4496
태평상가건너,12836.157,3552.4079
태평상가앞2,12836.1918,3552.4016
동인네거리1,12836.3657,3552.351
동인네거리2,12836.4077,3552.3599
신천교1,12836.5835,3552.3905
신천교2,12836.5909,3552.3965
동인치안센터건너,12836.2593,3552.2801
동인치안센터앞,12836.2674,3552.2723
달성공원건너,12834.9344,3552.3532
2.28기념중앙공원건너2,12835.9426,3552.2194
반월당역(1번출구)2,12835.5759,3551.755
성명여자중학교,12835.1634,3552.1322
대구콘서트하우스건너,12835.5575,3552.5267
2호선반월당역2,12835.7399,3551.9047
남문시장건너1,12835.5002,3551.6984
남산2동주민센터앞,12835.3478,3551.8434
매일신문사건너,12835.2217,3552.1115
태평상가앞1,12836.15372,3552.4091
매일신문사앞,12835.23051,3552.034804
약령시입구,12835.3569,3551.9828
신남역(2번출구),12834.8417,3551.856
신남역(8번출구),12835.0324,3551.9114
불로전통시장앞,12838.4657,3554.6379
불로전통시장건너,12838.4567,3554.636
불로천주교회건너,12838.47,3554.8757
불로천주교회앞,12838.4613,3554.9053
봉무청구새들마을앞,12838.5141,3555.797933
봉무청구새들마을건너,12838.504,3555.8044
파군재삼거리2,12838.6307,3556.0406
파군재삼거리1,12838.6108,3556.1504
공산동주민센터건너,12838.7399,3556.3938
공산동주민센터앞,12838.7319,3556.4023
팔공보성아파트건너,12838.7963,3556.54
팔공보성아파트앞,12838.7833,3556.5346
대구중앙고등학교건너,12837.00459,3552.085042
대구중앙고등학교앞,12836.9937,3552.0789
청구고등학교앞,12837.31421,3552.054566
청구고등학교건너,12837.4178,3552.0269
신천LH아파트건너,12836.8363,3552.4399
신천LH아파트앞,12836.8327,3552.4453
신천역(2번출구),12837.0059,3552.4639
역전시장앞,12837.2134,3552.5099
역전시장건너,12837.2552,3552.5262
신천3동주민센터건너,12837.4263,3552.4551
솔렌스힐앞,12837.4282,3552.2874
솔렌스힐건너,12837.4156,3552.2755
한국건강관리협회앞,12837.3969,3552.1404
신천3치안센터앞,12837.2088,3552.2009
신천3치안센터건너,12837.2057,3552.192
명문오하임아파트앞,12837.1825,3552.3499
명문오하임아파트건너,12837.1847,3552.357
신천초등학교앞,12837.3816,3552.3128
신천초등학교건너,12837.384,3552.3138
신천역(5번출구),12837.1027,3552.3948
신천역(4번출구),12837.1132,3552.3657
한국국토정보공사건너,12837.4471,3552.5612
한국국토정보공사앞,12837.4558,3552.5734
동대구역복합환승센터앞,12837.80034,3552.653164
동대구역복합환승센터건너,12837.8079,3552.6436
대구지방법원등기국앞,12838.089,3552.7324
대구지방법원등기국건너,12838.0841,3552.7386
청기와주유소건너,12838.9014,3552.6815
효목네거리3,12838.7799,3552.6364
우방만촌하이츠건너,12837.8824,3552.1231
동부정류장(메트로팔레스),12837.9763,3552.208
코오롱아파트,12837.9408,3552.1902
수성도서관앞,12838.2836,3552.364
수성도서관건너,12838.2736,3552.3736
한전동대구지사건너,12838.4696,3552.4545
한전동대구지사,12838.4897,3552.4801
동구시장앞,12838.3593,3552.4454
동구시장건너,12838.3577,3552.4578
구)효목2동주민센터건너,12838.3524,3552.6552
구)효목2동주민센터앞,12838.331,3552.6636
경북아파트앞(신천동),12837.9727,3552.5853
경북아파트건너(신천동),12837.97,3552.6
동부정류장앞,12838.0685,3552.4456
동부정류장건너,12838.0764,3552.4374
영남일보건너,12837.5934,3552.1213
MBC네거리,12837.5718,3552.0931
귀빈예식장앞,12837.5497,3552.2796
